title,description,location,date,detail
European Diploma in Transplantation Surgery,"European Board of Surgery, Division of Transplantation",Paris,2009,"Module 1: Multiorgan retrieval | Module 2: Kidney Transplantation"
European Diploma in Transplantation Surgery,"European Board of Surgery, Division of Transplantation",Brussels,2015,Module 3: Pancreas Transplantation
